id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-001-blood-pressure-estimation-from-ppg-a-comparative-study-of-direct-and-ecg,Blood Pressure Estimation from PPG: A Comparative Study of Direct and ECG-Mediated Deep Learning Pipelines,2026,2026-08-11,paper,arXiv,,,daily-index-only,PPG | cuffless BP,not_reported,PPG | ECG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-002-evaluating-cross-dataset-transfer-learning-for-photoplethysmography-base,Evaluating cross-dataset transfer learning for photoplethysmography-based blood pressure estimation,2026,2026-08-11,paper,Scientific Reports,10.1038/s41598-026-43409-8,https://www.nature.com/articles/s41598-026-43409-8,primary-full-text,PPG | cuffless BP | cross-dataset transfer | personalization,MIMIC-III | VitalDB | Radboud wearable dataset,PPG,Compact BP-CRNN pretrained on a source dataset; last convolutional and fully connected layers are fine-tuned with limited target-subject data.,"Cross-dataset personalization on 200 patients achieved SBP/DBP MAE 3.36/1.81 mmHg, about 13% better than no transfer; external wearable-domain errors remained around SBP 10.5–10.9 and DBP 6.9 mmHg in the prior review.",subject-specific fine-tuning,,onboarding/target adaptation,Needs limited target-user PPG with reference BP.,true,Evaluation is organized by target subjects; source and target datasets are distinct.,true,Radboud wearable dataset,Shows clear hospital-to-wearable domain gap.,conditional,有条件可部署,PPG | stored personalized weights,false,"Personal reference BP is required before deployment, not for each prediction.",low-to-medium,not reported as current-test target dependent,dataset synchronization used; no per-window target alignment confirmed,reference BP used to create supervised target windows,quality filtering present; exact target dependence needs protocol audit,historical target-subject BP used for fine-tuning,controlled by subject-specific protocol but temporal proximity remains a concern,not the primary risk; evaluation is personalized by design,"Strong deployment relevance, but personalized results cannot be read as calibration-free cross-person generalization.",priority-reviewed,2026-08-24,重点深审。
ppgbp-003-single-beat-cuffless-blood-pressure-estimation-using-ear-ppg-and-ecg-wit,Single-Beat Cuffless Blood Pressure Estimation Using Ear-PPG and ECG with a Lightweight Hybrid Learning Framework,2026,2026-08-11,paper,EMBC 2026 / arXiv,,,daily-index-only,PPG | cuffless BP,not_reported,PPG | ECG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-004-smartwatch-photoplethysmography-derived-heart-age-via-ecg-guided-cross-m,Smartwatch Photoplethysmography-Derived Heart Age via ECG-Guided Cross-Modal Pretraining as a Digital Biomarker of Vascular Aging,2026,2026-08-11,paper,Preprint,,,daily-index-only,PPG | foundation model | wearable deployment,not_reported,PPG | ECG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-005-a-robust-ppg-foundation-model-using-multimodal-physiological-supervision,A robust PPG foundation model using multimodal physiological supervision,2026,2026-08-11,paper,Preprint,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-006-few-shot-personalized-blood-pressure-estimation-from-photoplethysmograph,Few-Shot Personalized Blood Pressure Estimation from Photoplethysmography and Physiological Priors via Low-Rank Adaptation,2026,2026-08-12,paper,IEEE Journal of Biomedical and Health Informatics,,https://pubmed.ncbi.nlm.nih.gov/41701592/,primary-metadata/abstract,PPG | cuffless BP | personalization | LoRA | physiological prior,UCI Cuffless BP | University of Queensland | CAS-BP,PPG | physiological priors,Population-pretrained Transformer personalized with sampling-rate-robust LoRA (SRR-LoRA) and pulse-pressure consistency loss.,"Reported SBP MAE 1.52 mmHg and DBP MAE 1.07 mmHg after few-shot personalization; 2,405 pretraining subjects and 316 personalization subjects were described in the prior daily review.",few-shot personal fine-tuning,,onboarding,Requires labeled personal PPG/BP examples; exact shot count varies by experiment and is not safely reduced here to a single number.,reported-subject-aware,Personalization cohorts are subject-based; exact train/validation/test protocol still needs full-text table verification.,false,,"Multiple datasets used, but no clearly independent external clinical validation was confirmed.",conditional,有条件可部署,PPG | stored personalized LoRA parameters,false,"Deployment can be PPG-only after onboarding, but cuff/reference BP is needed to create the personalized adapter.",medium,not_found,not_found,unknown,unknown,historical personal BP labels used for onboarding,not fully verified,lower risk if reported subject protocol is followed,No evidence that current test BP is needed at inference; personalization can still make same-person evaluation optimistic if calibration/test windows are too close.,priority-reviewed,2026-08-24,重点深审；不要把“少样本个体化”误写成“无需校准”。
ppgbp-007-feasibility-and-performance-evaluation-of-ppg-on-a-galaxy-watch-in-conti,Feasibility and performance evaluation of PPG on a Galaxy Watch in continuous central blood pressure monitoring,2026,2026-08-12,paper,European Heart Journal – Digital Health,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12912915/,primary-full-text,PPG | Galaxy Watch | central BP | change tracking | external prospective validation,6117 measurements/440 development participants | 114 catheterization validation participants,Galaxy Watch 6 PPG | optional baseline calibration,PPG algorithm detects relative MAP/SBP/DBP changes against invasive central aortic BP; prospective catheterization evaluation.,For ≥15% MAP increase AUC 0.85; MAP-change correlation r=0.92 with bias 0.51 mmHg; median detection delay 1 min; uncalibrated change detection remained robust.,baseline calibration optional for change tracking,,baseline,Calibrated and uncalibrated relative-change analyses were both reported.,true,Development and prospective evaluation cohorts are separate.,true,114 prospective catheterization patients,Reference is invasive central aortic BP.,promising-change-tracking,适合 ΔBP/MAP 变化检测，非绝对 BP 产品验证,wrist PPG | optional baseline,false,Protocol did not satisfy all relevant validation requirements.,low,not reported,minute-level paired reference used for evaluation,fixed time points,not reported as target-based,baseline only/optional,not applicable across separate cohorts,NO apparent cohort overlap,Reference BP defines outcomes but is not needed by deployed PPG model.,priority-reviewed,2026-08-24,重点深审。
ppgbp-008-validation-and-subgroup-analysis-of-the-accuracy-of-the-photoplethysmogr,Validation and Subgroup Analysis of the Accuracy of the Photoplethysmography-based Microlife Cuffless Upper-arm Wearable Blood Pressure Monitor,2026,2026-08-12,paper,American Journal of Hypertension,10.1093/ajh/hpaf238,https://pubmed.ncbi.nlm.nih.gov/41390956/,primary-abstract,PPG | cuffless BP | clinical validation | skin tone | age,prospective 120-participant validation cohort,upper-arm PPG | stored cuff calibration,Commercial upper-arm PPG cuffless monitor evaluated with sequential same-arm measurements under AAMI/ESH/ISO 81060-2:2018/Amd 1:2020.,120 adults; met AAMI/ESH/ISO accuracy criteria and showed broadly consistent results across age and Fitzpatrick skin-tone groups.,individual cuff calibration,,before validation,Calibrated against a clinically validated mercury sphygmomanometer.,not applicable to device validation,Prospective measurement validation rather than model train/test split.,true,120-participant prospective validation,General adult population with subgroup analysis.,strong-conditional,临床验证较强但需要袖带校准,upper-arm PPG | stored personal calibration,false,Suitable for frequent home measurements after calibration.,low,not reported,sequential same-arm reference protocol,device-defined,not reported as reference-target based,historical cuff calibration only,not applicable,not applicable to prospective device validation,"Calibration is an authorized deployment input, not leakage, provided later reference readings are only evaluation targets.",priority-reviewed,2026-08-24,重点深审。
ppgbp-009-sigma-ppg-statistical-prior-informed-generative-masking-architecture-for,SIGMA-PPG: Statistical-prior Informed Generative Masking Architecture for PPG Foundation Model,2026,2026-08-12,paper,arXiv,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-010-wavelet-driven-masked-multiscale-reconstruction-for-ppg-foundation-model,Wavelet-Driven Masked Multiscale Reconstruction for PPG Foundation Models,2026,2026-08-12,paper,Preprint,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
