id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,publication_year_status,publication_year_display,publication_year_basis,publication_year_note,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-001-blood-pressure-estimation-from-ppg-a-comparative-study-of-direct-and-ecg,Blood Pressure Estimation from PPG: A Comparative Study of Direct and ECG-Mediated Deep Learning Pipelines,2026,2026-08-11,paper,arXiv,,https://arxiv.org/abs/2607.23406,primary-abstract,PPG | cuffless BP,not_reported,PPG | ECG,"在 MIMIC-III 的 3,127 名患者、174 万片段上先做 PPG/ECG 与 ABP 的相关分析，再用多种深度模型统一比较直接与 ECG-mediated pipeline。",PPG 与 ABP 的耦合 |r|=0.247，ECG 为 r=0.018；直接流程 SBP/DBP MAE 4.82/4.31 mmHg，论文称达到 BHS Grade A，ECG-mediated 仅 Grade B。,比较直接 PPG→BP 与先重建 ECG 再估计 BP 的两类流程，判断 ECG 中间表示是否真的更有价值。,"在 MIMIC-III 的 3,127 名患者、174 万片段上先做 PPG/ECG 与 ABP 的相关分析，再用多种深度模型统一比较直接与 ECG-mediated pipeline。",PPG 与 ABP 的耦合 |r|=0.247，ECG 为 r=0.018；直接流程 SBP/DBP MAE 4.82/4.31 mmHg，论文称达到 BHS Grade A，ECG-mediated 仅 Grade B。,直接 PPG 既更简单也优于先重建 ECG；但摘要未说明受试者级划分，不能仅凭大规模窗口数排除泄露。,ECG 中间任务没有带来收益；真正决定可信度的是 subject split，而不是网络链条更长。,论文目标流程推理只需单通道 PPG，不需当前参考 BP；可穿戴友好，但尚不是独立临床验证。,未报告当前 BP 反归一化或目标依赖质量筛选；摘要未说明 window/subject split，风险评为中等。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,research-only,研究验证阶段,PPG,false,论文目标流程推理只需单通道 PPG，不需当前参考 BP；可穿戴友好，但尚不是独立临床验证。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,未报告当前 BP 反归一化或目标依赖质量筛选；摘要未说明 window/subject split，风险评为中等。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-002-evaluating-cross-dataset-transfer-learning-for-photoplethysmography-base,Evaluating cross-dataset transfer learning for photoplethysmography-based blood pressure estimation,2026,2026-08-11,paper,Scientific Reports,10.1038/s41598-026-43409-8,https://www.nature.com/articles/s41598-026-43409-8,primary-full-text,PPG | cuffless BP | cross-dataset transfer | personalization,MIMIC-III | VitalDB | Radboud wearable dataset,PPG,Compact BP-CRNN pretrained on a source dataset; last convolutional and fully connected layers are fine-tuned with limited target-subject data.,"Cross-dataset personalization on 200 patients achieved SBP/DBP MAE 3.36/1.81 mmHg, about 13% better than no transfer; external wearable-domain errors remained around SBP 10.5–10.9 and DBP 6.9 mmHg in the prior review.",检验一个在医院数据上训练的 PPG→BP 模型，能否用少量目标用户数据迁移到新数据集和真实可穿戴场景。,先在源数据集预训练轻量 BP-CRNN，再只微调最后的卷积层和全连接层，用少量目标用户的 PPG 与参考 BP 完成个体化。,在 200 名目标患者的个体化实验中，SBP/DBP MAE 为 3.36/1.81 mmHg，比不做迁移约改善 13%；到了外部可穿戴数据，误差升至约 10.5–10.9/6.9 mmHg。,跨数据集迁移和个体化确实有帮助，但医院数据上的好成绩不能直接代表可穿戴场景；真实域差异仍然很大。,可用于需要入组校准的个体化方案，不能当作免校准、跨人群通用模型。,上线前需要用户提供少量 PPG+参考 BP 做微调；之后单次推理只需 PPG 和已保存的个体参数。,未发现推理时使用当前测试 BP；主要风险是同一用户的校准窗口与测试窗口过近，造成个体化结果偏乐观。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,subject-specific fine-tuning,,onboarding/target adaptation,Needs limited target-user PPG with reference BP.,true,Evaluation is organized by target subjects; source and target datasets are distinct.,true,Radboud wearable dataset,Shows clear hospital-to-wearable domain gap.,conditional,有条件可部署,PPG | stored personalized weights,false,"Personal reference BP is required before deployment, not for each prediction.",low-to-medium,not reported as current-test target dependent,dataset synchronization used; no per-window target alignment confirmed,reference BP used to create supervised target windows,quality filtering present; exact target dependence needs protocol audit,historical target-subject BP used for fine-tuning,controlled by subject-specific protocol but temporal proximity remains a concern,not the primary risk; evaluation is personalized by design,"Strong deployment relevance, but personalized results cannot be read as calibration-free cross-person generalization.",priority-reviewed,2026-08-24,重点深审。
ppgbp-003-single-beat-cuffless-blood-pressure-estimation-using-ear-ppg-and-ecg-wit,Single-Beat Cuffless Blood Pressure Estimation Using Ear-PPG and ECG with a Lightweight Hybrid Learning Framework,2026,2026-08-11,paper,EMBC 2026 / arXiv,,https://arxiv.org/abs/2607.27076,primary-abstract,PPG | cuffless BP,not_reported,PPG | ECG,同步胸部 ECG、耳夹反射式 PPG 与两处 6-axis IMU；1D-CNN 提取单搏 embedding，与 PTT、HRV、PPG morphology 等 30 个特征融合后由 LightGBM 回归。,10 人多阶段应激实验加 PulseDB，采用 subject-disjoint 验证；30 次运行的 SBP/DBP MAE 为 4.02±0.21/1.79±0.05 mmHg，综合 MAE 比基线低 28.2%。,在长窗口会被运动破坏的情况下，用单个心搏完成 cuffless BP 估计。,同步胸部 ECG、耳夹反射式 PPG 与两处 6-axis IMU；1D-CNN 提取单搏 embedding，与 PTT、HRV、PPG morphology 等 30 个特征融合后由 LightGBM 回归。,10 人多阶段应激实验加 PulseDB，采用 subject-disjoint 验证；30 次运行的 SBP/DBP MAE 为 4.02±0.21/1.79±0.05 mmHg，综合 MAE 比基线低 28.2%。,单搏信息可以支持轻量估计，但本地应激队列很小，仍需更大真实运动与独立临床验证。,这是多传感器的轻量单搏方案，不是 PPG-only，也不能把 PulseDB 成绩直接视作耳戴产品性能。,推理需同步耳部 PPG、胸部 ECG，并可用 IMU 提供运动上下文；不需当前参考 BP。,明确 subject-disjoint，目标泄露风险较低；仍需核对窗口重叠是否在受试者内部严格留在同一集合。,已完成重点审核,verified,2026,arXiv 与 IEEE EMBC 2026 议程核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,true,摘要明确 subject-disjoint validation。,false,,未确认独立外部队列验证。,research-only,研究验证阶段,ear PPG | chest ECG | IMU/motion context,false,推理需同步耳部 PPG、胸部 ECG，并可用 IMU 提供运动上下文；不需当前参考 BP。,low,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,有受试者/队列隔离证据；重叠窗口细节仍以全文为准。,已报告 subject-disjoint、LOSO 或独立队列。,明确 subject-disjoint，目标泄露风险较低；仍需核对窗口重叠是否在受试者内部严格留在同一集合。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-004-smartwatch-photoplethysmography-derived-heart-age-via-ecg-guided-cross-m,Smartwatch Photoplethysmography-Derived Heart Age via ECG-Guided Cross-Modal Pretraining as a Digital Biomarker of Vascular Aging,2026,2026-08-11,paper,Preprint,10.21203/rs.3.rs-10560421/v1,https://doi.org/10.21203/rs.3.rs-10560421/v1,primary-metadata/abstract,PPG | foundation model | wearable deployment,not_reported,PPG | ECG | IMU/context (possible),"训练期用同步 ECG–PPG 做 subject-aware 自监督与 contrastive alignment，推理仅保留 PPG；在 OPPO 三队列共 581,804 人、7,452,131 条记录上开发并外部关联验证。",外部 PWV/HBPM 队列 heart-age MAE 为 5.895/4.344 年，r=0.819/0.800；heart-age gap 每升高 1 SD，高血压 odds ratio 为 1.72，最高与最低四分位 OR=4.25。,把 smartwatch PPG 转成 heart-age gap，并检验它与动脉僵硬和高血压患病是否相关。,"训练期用同步 ECG–PPG 做 subject-aware 自监督与 contrastive alignment，推理仅保留 PPG；在 OPPO 三队列共 581,804 人、7,452,131 条记录上开发并外部关联验证。",外部 PWV/HBPM 队列 heart-age MAE 为 5.895/4.344 年，r=0.819/0.800；heart-age gap 每升高 1 SD，高血压 odds ratio 为 1.72，最高与最低四分位 OR=4.25。,PPG heart age 可用于风险分层，但它预测的是生物年龄/患病关联，不是输出当前 SBP/DBP。,大队列和外部队列很强；不能把高血压关联误写成 cuffless BP 测量验证。,训练需 ECG，手表端推理只需 PPG；无需 cuff 校准或当前 BP。,外部 PWV/HBPM 队列降低跨队列泄露；摘要未完整披露内部划分细节，保留中低风险。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,true,OPPO PWV 与 HBPM 外部队列,存在独立数据/队列测试；仍按论文具体任务解释。,not-a-bp-estimator,非 BP 测量任务,smartwatch PPG,false,训练需 ECG，手表端推理只需 PPG；无需 cuff 校准或当前 BP。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,外部 PWV/HBPM 队列降低跨队列泄露；摘要未完整披露内部划分细节，保留中低风险。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-005-a-robust-ppg-foundation-model-using-multimodal-physiological-supervision,A robust PPG foundation model using multimodal physiological supervision,2026,2026-08-11,paper,Preprint,,https://arxiv.org/abs/2606.07365,primary-abstract,PPG | foundation model,not_reported,PPG,预训练时利用 ECG 与 respiration 选择 contrastive samples，并保留噪声 PPG 学习，而不是只依赖人工清洗的高质量片段。,用约为既有方法三分之一的受试者预训练，在 15 个下游任务中的 14 个取得提升，包括日常活动和 HR 预测；摘要未给统一数值。,用 ICU 中同步 ECG/呼吸信号帮助 PPG foundation model 在噪声和消费级场景中更稳健。,预训练时利用 ECG 与 respiration 选择 contrastive samples，并保留噪声 PPG 学习，而不是只依赖人工清洗的高质量片段。,用约为既有方法三分之一的受试者预训练，在 15 个下游任务中的 14 个取得提升，包括日常活动和 HR 预测；摘要未给统一数值。,多模态训练监督提高 PPG 表征鲁棒性，但本研究不是 BP estimator，也没有给 cuffless BP 临床指标。,适合作为 PPG encoder 候选；下游 BP 任务仍需独立审计划分、标签和校准。,训练需 PPG+ECG+呼吸；下游通常可仅用 PPG encoder，具体输入取决于任务 head。,未涉及当前 BP 目标；主要风险转移到每个下游任务的 subject split，摘要未提供全部细节。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,训练需 PPG+ECG+呼吸；下游通常可仅用 PPG encoder，具体输入取决于任务 head。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,未涉及当前 BP 目标；主要风险转移到每个下游任务的 subject split，摘要未提供全部细节。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-006-few-shot-personalized-blood-pressure-estimation-from-photoplethysmograph,Few-Shot Personalized Blood Pressure Estimation from Photoplethysmography and Physiological Priors via Low-Rank Adaptation,2026,2026-08-12,paper,IEEE Journal of Biomedical and Health Informatics,,https://pubmed.ncbi.nlm.nih.gov/41701592/,primary-metadata/abstract,PPG | cuffless BP | personalization | LoRA | physiological prior,UCI Cuffless BP | University of Queensland | CAS-BP,PPG | physiological priors,Population-pretrained Transformer personalized with sampling-rate-robust LoRA (SRR-LoRA) and pulse-pressure consistency loss.,"Reported SBP MAE 1.52 mmHg and DBP MAE 1.07 mmHg after few-shot personalization; 2,405 pretraining subjects and 316 personalization subjects were described in the prior daily review.",用少量个人样本，把群体 PPG→BP 模型快速适配到新用户，同时尽量减少需要更新的参数量。,先训练群体 Transformer，再用 SRR-LoRA 做低秩个体化，并加入 pulse pressure 一致性损失；个人适配只更新少量 LoRA 参数。,"论文报告个体化后 SBP/DBP MAE 为 1.52/1.07 mmHg；此前日报记录的预训练人群为 2,405 人，个体化实验为 316 人。",Few-shot LoRA 能显著提高同一用户上的预测精度，但高精度依赖个人标注样本，不能表述为“无需校准”。,工程上有吸引力，但必须把个人 cuff BP 的采集成本和校准—测试时间间隔写清楚。,完成入组校准后可仅用 PPG 推理；生成个人 LoRA adapter 时仍需要带参考 BP 的个人样本。,未发现当前测试 BP 进入推理；需继续核对个人校准窗口与测试窗口是否严格分离。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,few-shot personal fine-tuning,,onboarding,Requires labeled personal PPG/BP examples; exact shot count varies by experiment and is not safely reduced here to a single number.,reported-subject-aware,Personalization cohorts are subject-based; exact train/validation/test protocol still needs full-text table verification.,false,,"Multiple datasets used, but no clearly independent external clinical validation was confirmed.",conditional,有条件可部署,PPG | stored personalized LoRA parameters,false,"Deployment can be PPG-only after onboarding, but cuff/reference BP is needed to create the personalized adapter.",medium,not_found,not_found,unknown,unknown,historical personal BP labels used for onboarding,not fully verified,lower risk if reported subject protocol is followed,No evidence that current test BP is needed at inference; personalization can still make same-person evaluation optimistic if calibration/test windows are too close.,priority-reviewed,2026-08-24,重点深审；不要把“少样本个体化”误写成“无需校准”。
ppgbp-007-feasibility-and-performance-evaluation-of-ppg-on-a-galaxy-watch-in-conti,Feasibility and performance evaluation of PPG on a Galaxy Watch in continuous central blood pressure monitoring,2026,2026-08-12,paper,European Heart Journal – Digital Health,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12912915/,primary-full-text,PPG | Galaxy Watch | central BP | change tracking | external prospective validation,6117 measurements/440 development participants | 114 catheterization validation participants,Galaxy Watch 6 PPG | optional baseline calibration,PPG algorithm detects relative MAP/SBP/DBP changes against invasive central aortic BP; prospective catheterization evaluation.,For ≥15% MAP increase AUC 0.85; MAP-change correlation r=0.92 with bias 0.51 mmHg; median detection delay 1 min; uncalibrated change detection remained robust.,验证 Galaxy Watch 的腕部 PPG 能否连续追踪中心动脉 BP 的相对变化，而不是只在静息时给出一个绝对 BP 数字。,算法从手表 PPG 提取 MAP/SBP/DBP 的变化，并在导管检查人群中与侵入式中心主动脉 BP 做前瞻性比较；同时比较有、无基线校准。,识别 MAP 上升≥15% 的 AUC 为 0.85；MAP 变化相关系数 r=0.92，偏差 0.51 mmHg，中位检测延迟 1 分钟；无校准时变化检测仍较稳健。,腕部 PPG 很适合做 ΔBP/MAP 趋势追踪，但这项研究并未证明手表可按完整标准输出可靠的绝对 BP。,把它理解为“变化报警器”比“电子血压计”更准确。,推理只需腕部 PPG，可选基线；适合趋势监测，不应外推为绝对 BP 产品验证。,开发与前瞻性验证队列分开，未见当前参考 BP 输入模型；侵入式 BP 仅用于评价。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,baseline calibration optional for change tracking,,baseline,Calibrated and uncalibrated relative-change analyses were both reported.,true,Development and prospective evaluation cohorts are separate.,true,114 prospective catheterization patients,Reference is invasive central aortic BP.,promising-change-tracking,适合 ΔBP/MAP 变化检测，非绝对 BP 产品验证,wrist PPG | optional baseline,false,Protocol did not satisfy all relevant validation requirements.,low,not reported,minute-level paired reference used for evaluation,fixed time points,not reported as target-based,baseline only/optional,not applicable across separate cohorts,NO apparent cohort overlap,Reference BP defines outcomes but is not needed by deployed PPG model.,priority-reviewed,2026-08-24,重点深审。
ppgbp-008-validation-and-subgroup-analysis-of-the-accuracy-of-the-photoplethysmogr,Validation and Subgroup Analysis of the Accuracy of the Photoplethysmography-based Microlife Cuffless Upper-arm Wearable Blood Pressure Monitor,2026,2026-08-12,paper,American Journal of Hypertension,10.1093/ajh/hpaf238,https://pubmed.ncbi.nlm.nih.gov/41390956/,primary-abstract,PPG | cuffless BP | clinical validation | skin tone | age,prospective 120-participant validation cohort,upper-arm PPG | stored cuff calibration,Commercial upper-arm PPG cuffless monitor evaluated with sequential same-arm measurements under AAMI/ESH/ISO 81060-2:2018/Amd 1:2020.,120 adults; met AAMI/ESH/ISO accuracy criteria and showed broadly consistent results across age and Fitzpatrick skin-tone groups.,按医疗器械标准检验 Microlife 上臂式 PPG 无袖带血压计的准确性，并观察年龄和肤色亚组是否一致。,在 120 名成人中采用同臂序贯测量，与参考 cuff BP 比较，并按 AAMI/ESH/ISO 81060-2:2018/Amd 1:2020 的要求评估。,设备达到论文采用的 AAMI/ESH/ISO 准确性判据；年龄与 Fitzpatrick 肤色亚组结果总体一致。,这是较接近产品验证的证据，但使用方式和校准条件仍需遵守研究协议，不能泛化到所有场景。,比纯算法回顾性实验更接近真实产品证据，但仍要看校准、测量姿势和适用人群。,适合校准后进行居家频繁测量；需要按设备说明完成初始校准。,属于独立设备验证，不是随机窗口训练评估；主要关注校准流程与参考测量协议，而非模型窗口泄露。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,individual cuff calibration,,before validation,Calibrated against a clinically validated mercury sphygmomanometer.,not applicable to device validation,Prospective measurement validation rather than model train/test split.,true,120-participant prospective validation,General adult population with subgroup analysis.,strong-conditional,临床验证较强但需要袖带校准,upper-arm PPG | stored personal calibration,false,Suitable for frequent home measurements after calibration.,low,not reported,sequential same-arm reference protocol,device-defined,not reported as reference-target based,historical cuff calibration only,not applicable,not applicable to prospective device validation,"Calibration is an authorized deployment input, not leakage, provided later reference readings are only evaluation targets.",priority-reviewed,2026-08-24,重点深审。
ppgbp-009-sigma-ppg-statistical-prior-informed-generative-masking-architecture-for,SIGMA-PPG: Statistical-prior Informed Generative Masking Architecture for PPG Foundation Model,2026,2026-08-12,paper,arXiv,,https://arxiv.org/abs/2601.21031,primary-abstract,PPG | foundation model,not_reported,PPG,以 statistical prior 指导强化学习 teacher 生成高难度 mask，并用 vector quantization semantic-consistency 约束相似波形映射到共享 code。,"在超过 120,000 小时 PPG 上预训练，12 个下游任务平均优于 5 个 SOTA baseline；摘要未逐项给出 BP 指标。",避免普通 masked modeling 学到 PPG 冗余或噪声，获得更有生理语义的通用表征。,以 statistical prior 指导强化学习 teacher 生成高难度 mask，并用 vector quantization semantic-consistency 约束相似波形映射到共享 code。,"在超过 120,000 小时 PPG 上预训练，12 个下游任务平均优于 5 个 SOTA baseline；摘要未逐项给出 BP 指标。",这是 foundation model 的多任务结果，不等于已经证明绝对 BP 精度或临床可用性。,值得在 subject-disjoint BP benchmark 上复核，当前最强证据是表征迁移而非 BP 产品。,下游推理可只用 PPG；预训练 teacher 和 VQ codebook 不需要当前 BP。,预训练不依赖 BP 目标；各下游数据是否按受试者划分需分别审计。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,下游推理可只用 PPG；预训练 teacher 和 VQ codebook 不需要当前 BP。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,预训练不依赖 BP 目标；各下游数据是否按受试者划分需分别审计。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-010-wavelet-driven-masked-multiscale-reconstruction-for-ppg-foundation-model,Wavelet-Driven Masked Multiscale Reconstruction for PPG Foundation Models,2026,2026-08-12,paper,Preprint,,https://arxiv.org/abs/2601.12215,primary-abstract,PPG | foundation model,not_reported,PPG,"把 PPG 做 wavelet multiresolution decomposition，随机遮挡不同尺度系数，由 Transformer 重建；使用约 1,700 万个 10 秒片段、约 32,000 名手表用户预训练。",在 19 个健康任务中的 17 个达到或超过开源 PPG/time-series foundation model 与其他自监督基线。,让 foundation model 显式学习 PPG 从波形形态到全局节律的多尺度频谱结构。,"把 PPG 做 wavelet multiresolution decomposition，随机遮挡不同尺度系数，由 Transformer 重建；使用约 1,700 万个 10 秒片段、约 32,000 名手表用户预训练。",在 19 个健康任务中的 17 个达到或超过开源 PPG/time-series foundation model 与其他自监督基线。,wavelet-aware 预训练能改善通用 PPG embedding，但摘要没有给专门 BP clinical validation。,适合作为 wearable PPG 底座；不能把 17/19 下游胜出直接换算成 SBP/DBP 准确度。,推理只需 PPG；wavelet/encoder 的边缘计算成本仍需具体设备测量。,无当前 BP 目标依赖；下游受试者划分和同一用户重复片段隔离仍需单独确认。,已完成重点审核,verified,2025 workshop / 2026 完整版,2026 arXiv/ICLR 版本核验,存在 2025 年较短的 workshop 版本；当前记录对应 2026 年完整题名版本。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,推理只需 PPG；wavelet/encoder 的边缘计算成本仍需具体设备测量。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,无当前 BP 目标依赖；下游受试者划分和同一用户重复片段隔离仍需单独确认。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
