id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-001-blood-pressure-estimation-from-ppg-a-comparative-study-of-direct-and-ecg,Blood Pressure Estimation from PPG: A Comparative Study of Direct and ECG-Mediated Deep Learning Pipelines,2026,2026-08-11,paper,arXiv,,,daily-index-only,PPG | cuffless BP,not_reported,PPG | ECG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-002-evaluating-cross-dataset-transfer-learning-for-photoplethysmography-base,Evaluating cross-dataset transfer learning for photoplethysmography-based blood pressure estimation,2026,2026-08-11,paper,Scientific Reports,10.1038/s41598-026-43409-8,https://www.nature.com/articles/s41598-026-43409-8,primary-full-text,PPG | cuffless BP | cross-dataset transfer | personalization,MIMIC-III | VitalDB | Radboud wearable dataset,PPG,Compact BP-CRNN pretrained on a source dataset; last convolutional and fully connected layers are fine-tuned with limited target-subject data.,"Cross-dataset personalization on 200 patients achieved SBP/DBP MAE 3.36/1.81 mmHg, about 13% better than no transfer; external wearable-domain errors remained around SBP 10.5–10.9 and DBP 6.9 mmHg in the prior review.",检验一个在医院数据上训练的 PPG→BP 模型，能否用少量目标用户数据迁移到新数据集和真实可穿戴场景。,先在源数据集预训练轻量 BP-CRNN，再只微调最后的卷积层和全连接层，用少量目标用户的 PPG 与参考 BP 完成个体化。,在 200 名目标患者的个体化实验中，SBP/DBP MAE 为 3.36/1.81 mmHg，比不做迁移约改善 13%；到了外部可穿戴数据，误差升至约 10.5–10.9/6.9 mmHg。,跨数据集迁移和个体化确实有帮助，但医院数据上的好成绩不能直接代表可穿戴场景；真实域差异仍然很大。,可用于需要入组校准的个体化方案，不能当作免校准、跨人群通用模型。,上线前需要用户提供少量 PPG+参考 BP 做微调；之后单次推理只需 PPG 和已保存的个体参数。,未发现推理时使用当前测试 BP；主要风险是同一用户的校准窗口与测试窗口过近，造成个体化结果偏乐观。,已完成重点深审,subject-specific fine-tuning,,onboarding/target adaptation,Needs limited target-user PPG with reference BP.,true,Evaluation is organized by target subjects; source and target datasets are distinct.,true,Radboud wearable dataset,Shows clear hospital-to-wearable domain gap.,conditional,有条件可部署,PPG | stored personalized weights,false,"Personal reference BP is required before deployment, not for each prediction.",low-to-medium,not reported as current-test target dependent,dataset synchronization used; no per-window target alignment confirmed,reference BP used to create supervised target windows,quality filtering present; exact target dependence needs protocol audit,historical target-subject BP used for fine-tuning,controlled by subject-specific protocol but temporal proximity remains a concern,not the primary risk; evaluation is personalized by design,"Strong deployment relevance, but personalized results cannot be read as calibration-free cross-person generalization.",priority-reviewed,2026-08-24,重点深审。
ppgbp-003-single-beat-cuffless-blood-pressure-estimation-using-ear-ppg-and-ecg-wit,Single-Beat Cuffless Blood Pressure Estimation Using Ear-PPG and ECG with a Lightweight Hybrid Learning Framework,2026,2026-08-11,paper,EMBC 2026 / arXiv,,,daily-index-only,PPG | cuffless BP,not_reported,PPG | ECG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-004-smartwatch-photoplethysmography-derived-heart-age-via-ecg-guided-cross-m,Smartwatch Photoplethysmography-Derived Heart Age via ECG-Guided Cross-Modal Pretraining as a Digital Biomarker of Vascular Aging,2026,2026-08-11,paper,Preprint,,,daily-index-only,PPG | foundation model | wearable deployment,not_reported,PPG | ECG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、foundation model、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | ECG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-005-a-robust-ppg-foundation-model-using-multimodal-physiological-supervision,A robust PPG foundation model using multimodal physiological supervision,2026,2026-08-11,paper,Preprint,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、foundation model。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-006-few-shot-personalized-blood-pressure-estimation-from-photoplethysmograph,Few-Shot Personalized Blood Pressure Estimation from Photoplethysmography and Physiological Priors via Low-Rank Adaptation,2026,2026-08-12,paper,IEEE Journal of Biomedical and Health Informatics,,https://pubmed.ncbi.nlm.nih.gov/41701592/,primary-metadata/abstract,PPG | cuffless BP | personalization | LoRA | physiological prior,UCI Cuffless BP | University of Queensland | CAS-BP,PPG | physiological priors,Population-pretrained Transformer personalized with sampling-rate-robust LoRA (SRR-LoRA) and pulse-pressure consistency loss.,"Reported SBP MAE 1.52 mmHg and DBP MAE 1.07 mmHg after few-shot personalization; 2,405 pretraining subjects and 316 personalization subjects were described in the prior daily review.",用少量个人样本，把群体 PPG→BP 模型快速适配到新用户，同时尽量减少需要更新的参数量。,先训练群体 Transformer，再用 SRR-LoRA 做低秩个体化，并加入 pulse pressure 一致性损失；个人适配只更新少量 LoRA 参数。,"论文报告个体化后 SBP/DBP MAE 为 1.52/1.07 mmHg；此前日报记录的预训练人群为 2,405 人，个体化实验为 316 人。",Few-shot LoRA 能显著提高同一用户上的预测精度，但高精度依赖个人标注样本，不能表述为“无需校准”。,工程上有吸引力，但必须把个人 cuff BP 的采集成本和校准—测试时间间隔写清楚。,完成入组校准后可仅用 PPG 推理；生成个人 LoRA adapter 时仍需要带参考 BP 的个人样本。,未发现当前测试 BP 进入推理；需继续核对个人校准窗口与测试窗口是否严格分离。,已完成重点深审,few-shot personal fine-tuning,,onboarding,Requires labeled personal PPG/BP examples; exact shot count varies by experiment and is not safely reduced here to a single number.,reported-subject-aware,Personalization cohorts are subject-based; exact train/validation/test protocol still needs full-text table verification.,false,,"Multiple datasets used, but no clearly independent external clinical validation was confirmed.",conditional,有条件可部署,PPG | stored personalized LoRA parameters,false,"Deployment can be PPG-only after onboarding, but cuff/reference BP is needed to create the personalized adapter.",medium,not_found,not_found,unknown,unknown,historical personal BP labels used for onboarding,not fully verified,lower risk if reported subject protocol is followed,No evidence that current test BP is needed at inference; personalization can still make same-person evaluation optimistic if calibration/test windows are too close.,priority-reviewed,2026-08-24,重点深审；不要把“少样本个体化”误写成“无需校准”。
ppgbp-007-feasibility-and-performance-evaluation-of-ppg-on-a-galaxy-watch-in-conti,Feasibility and performance evaluation of PPG on a Galaxy Watch in continuous central blood pressure monitoring,2026,2026-08-12,paper,European Heart Journal – Digital Health,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12912915/,primary-full-text,PPG | Galaxy Watch | central BP | change tracking | external prospective validation,6117 measurements/440 development participants | 114 catheterization validation participants,Galaxy Watch 6 PPG | optional baseline calibration,PPG algorithm detects relative MAP/SBP/DBP changes against invasive central aortic BP; prospective catheterization evaluation.,For ≥15% MAP increase AUC 0.85; MAP-change correlation r=0.92 with bias 0.51 mmHg; median detection delay 1 min; uncalibrated change detection remained robust.,验证 Galaxy Watch 的腕部 PPG 能否连续追踪中心动脉 BP 的相对变化，而不是只在静息时给出一个绝对 BP 数字。,算法从手表 PPG 提取 MAP/SBP/DBP 的变化，并在导管检查人群中与侵入式中心主动脉 BP 做前瞻性比较；同时比较有、无基线校准。,识别 MAP 上升≥15% 的 AUC 为 0.85；MAP 变化相关系数 r=0.92，偏差 0.51 mmHg，中位检测延迟 1 分钟；无校准时变化检测仍较稳健。,腕部 PPG 很适合做 ΔBP/MAP 趋势追踪，但这项研究并未证明手表可按完整标准输出可靠的绝对 BP。,把它理解为“变化报警器”比“电子血压计”更准确。,推理只需腕部 PPG，可选基线；适合趋势监测，不应外推为绝对 BP 产品验证。,开发与前瞻性验证队列分开，未见当前参考 BP 输入模型；侵入式 BP 仅用于评价。,已完成重点深审,baseline calibration optional for change tracking,,baseline,Calibrated and uncalibrated relative-change analyses were both reported.,true,Development and prospective evaluation cohorts are separate.,true,114 prospective catheterization patients,Reference is invasive central aortic BP.,promising-change-tracking,适合 ΔBP/MAP 变化检测，非绝对 BP 产品验证,wrist PPG | optional baseline,false,Protocol did not satisfy all relevant validation requirements.,low,not reported,minute-level paired reference used for evaluation,fixed time points,not reported as target-based,baseline only/optional,not applicable across separate cohorts,NO apparent cohort overlap,Reference BP defines outcomes but is not needed by deployed PPG model.,priority-reviewed,2026-08-24,重点深审。
ppgbp-008-validation-and-subgroup-analysis-of-the-accuracy-of-the-photoplethysmogr,Validation and Subgroup Analysis of the Accuracy of the Photoplethysmography-based Microlife Cuffless Upper-arm Wearable Blood Pressure Monitor,2026,2026-08-12,paper,American Journal of Hypertension,10.1093/ajh/hpaf238,https://pubmed.ncbi.nlm.nih.gov/41390956/,primary-abstract,PPG | cuffless BP | clinical validation | skin tone | age,prospective 120-participant validation cohort,upper-arm PPG | stored cuff calibration,Commercial upper-arm PPG cuffless monitor evaluated with sequential same-arm measurements under AAMI/ESH/ISO 81060-2:2018/Amd 1:2020.,120 adults; met AAMI/ESH/ISO accuracy criteria and showed broadly consistent results across age and Fitzpatrick skin-tone groups.,按医疗器械标准检验 Microlife 上臂式 PPG 无袖带血压计的准确性，并观察年龄和肤色亚组是否一致。,在 120 名成人中采用同臂序贯测量，与参考 cuff BP 比较，并按 AAMI/ESH/ISO 81060-2:2018/Amd 1:2020 的要求评估。,设备达到论文采用的 AAMI/ESH/ISO 准确性判据；年龄与 Fitzpatrick 肤色亚组结果总体一致。,这是较接近产品验证的证据，但使用方式和校准条件仍需遵守研究协议，不能泛化到所有场景。,比纯算法回顾性实验更接近真实产品证据，但仍要看校准、测量姿势和适用人群。,适合校准后进行居家频繁测量；需要按设备说明完成初始校准。,属于独立设备验证，不是随机窗口训练评估；主要关注校准流程与参考测量协议，而非模型窗口泄露。,已完成重点深审,individual cuff calibration,,before validation,Calibrated against a clinically validated mercury sphygmomanometer.,not applicable to device validation,Prospective measurement validation rather than model train/test split.,true,120-participant prospective validation,General adult population with subgroup analysis.,strong-conditional,临床验证较强但需要袖带校准,upper-arm PPG | stored personal calibration,false,Suitable for frequent home measurements after calibration.,low,not reported,sequential same-arm reference protocol,device-defined,not reported as reference-target based,historical cuff calibration only,not applicable,not applicable to prospective device validation,"Calibration is an authorized deployment input, not leakage, provided later reference readings are only evaluation targets.",priority-reviewed,2026-08-24,重点深审。
ppgbp-009-sigma-ppg-statistical-prior-informed-generative-masking-architecture-for,SIGMA-PPG: Statistical-prior Informed Generative Masking Architecture for PPG Foundation Model,2026,2026-08-12,paper,arXiv,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、foundation model。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-010-wavelet-driven-masked-multiscale-reconstruction-for-ppg-foundation-model,Wavelet-Driven Masked Multiscale Reconstruction for PPG Foundation Models,2026,2026-08-12,paper,Preprint,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、foundation model。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
